"category","path","pre_exists","pre_file_count","pre_size_bytes","post_exists","post_file_count","post_size_bytes","action"
"test-artifacts","test-artifacts","True","71936","6517045361","False","0","0","cleanup-target"
"screenshots","screenshots","True","77","8489682","False","0","0","cleanup-target"
"tmp-file","tmp-collapse-window.xml","True","1","51892","False","0","0","cleanup-target"
"tmp-excluding-prod-db-backups","tmp","True","4017","345158690","True","0","0","cleanup-target"
"browser-logs","browser-logs","True","1","423","False","0","0","cleanup-target"
"web/dist","web/dist","True","10","458915","False","0","0","cleanup-target"
"backend/target","backend/target","True","329","117757977","False","0","0","cleanup-target"
"android/.gradle","android/.gradle","True","18","8509097","False","0","0","cleanup-target"
"android/app/build","android/app/build","True","1491","36250435","False","0","0","cleanup-target"
"android/build","android/build","True","1","133109","False","0","0","cleanup-target"
"web/node_modules","web/node_modules","","","","True","6439","106725276","preserved-for-faster-web-verification"
"tmp/prod-db-backups","tmp/prod-db-backups","","","","True","20","1829772","preserved-protected"
